ticker,cik,form,filingDate,url,keywords,summary,pct_1d,pct_3d,pct_before,volatility_before,volume_change,label_1d_extreme,summary_length,has_numbers_in_summary,num_keywords_matched,backtest_date
STRD,1050446,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1050446/0000950170-25-094137.txt,private placement,"MicroStrategy Inc. filed an 8-K report on July 7, 2025, disclosing its results of operations and financial condition. The key catalyst highlighted in the filing pertains to significant developments related to its crypto assets and strategic initiatives, which are expected to impact its financial outlook. This filing signals potential material updates that could influence investor perception and the company's valuation moving forward.",-0.012503276844285902,,-0.013385842791379594,2.757564549778921,,False,437,False,1,2025-07-09
STRD,1050446,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1050446/0001193125-25-155918.txt,reverse stock split,"MicroStrategy Inc. filed an 8-K reporting an amendment to its Articles of Incorporation or Bylaws, which may include corporate governance or structural changes. The key catalyst appears to be a corporate update or strategic move, but specific details are not provided in the summary. This filing signals potential organizational or governance adjustments that could impact investor perception or company operations.",-0.012503276844285902,,-0.013385842791379594,2.757564549778921,,False,415,False,1,2025-07-09
INO,1055726,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1055726/0001193125-25-155830.txt,reverse stock split,"Inovio Pharmaceuticals announced the entry into a significant definitive agreement, which is likely to serve as a key catalyst for the company's growth trajectory. This development could potentially enhance its strategic partnerships, funding, or product pipeline, positioning Inovio for future advancement in the pharmaceutical sector.",0.007518789579387513,,0.0,0.374644267653268,,False,336,False,1,2025-07-09
KFS,1072627,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1072627/0001437749-25-022212.txt,acquired beneficial ownership,"Kingsway Financial Services Inc. filed an 8-K report indicating the entry into a material definitive agreement, which likely represents a significant strategic or financial catalyst. The filing highlights the creation of a new direct financial obligation or off-balance sheet arrangement as of July 1, 2025, signaling a potential shift in the company's financial structure or strategic initiatives. This development could serve as a key catalyst impacting the company's future operations or valuation.",-0.058642019641922394,,-0.022329447115218594,1.3421716688508318,,True,501,False,1,2025-07-09
PMN,1374339,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1374339/0001558370-25-009112.txt,reverse stock split,"ProMIS Neurosciences announced in its July 3, 2025, 8-K filing that it has entered into a strategic partnership or collaboration, which is the key catalyst driving its current valuation and future prospects. This partnership is expected to advance the company's neurotherapeutic pipeline and potentially accelerate the development and commercialization of its drug candidates. The announcement signals a significant step forward for the company, potentially impacting its growth trajectory and investor interest.",-0.02439022085483674,,-0.04651165208409023,0.027537852628209757,,False,512,False,1,2025-07-09
CV,1378325,4,2025-07-07,https://www.sec.gov/Archives/edgar/data/1378325/0000950170-25-094308.txt,reverse stock split,"On July 3, 2025, Wang Kang-Huai, a director and officer of CapsoVision, Inc., acquired approximately 446,896 shares of the company's common stock, increasing his total holdings to 721,732 shares. This significant insider purchase serves as a key catalyst, potentially signaling confidence in the company's prospects and possibly influencing investor sentiment.",0.10023868032416278,,-0.0477272803625783,0.6363961705028504,,True,360,False,1,2025-07-09
CV,1378325,4,2025-07-07,https://www.sec.gov/Archives/edgar/data/1378325/0000950170-25-094309.txt,reverse stock split,"On July 3, 2025, Tsai Chen Lung, a director of CapsoVision, Inc., acquired 91,432 shares of the company's common stock, increasing his ownership to 115,456 shares. This transaction signifies a notable insider purchase, potentially indicating positive insider confidence in the company's prospects. The key catalyst here is the insider's increased stake, which may serve as a bullish signal for investors.",0.10023868032416278,,-0.0477272803625783,0.6363961705028504,,True,404,False,1,2025-07-09
CV,1378325,4,2025-07-07,https://www.sec.gov/Archives/edgar/data/1378325/0000950170-25-094311.txt,reverse stock split,"On July 3, 2025, Kuo Hui Ying, a director of CapsoVision, Inc., acquired 10,354 shares of the company's common stock. This transaction may serve as a key catalyst indicating increased insider confidence or support for CapsoVision, potentially signaling positive future prospects for the company.",0.10023868032416278,,-0.0477272803625783,0.6363961705028504,,True,295,False,1,2025-07-09
CV,1378325,4,2025-07-07,https://www.sec.gov/Archives/edgar/data/1378325/0000950170-25-094315.txt,reverse stock split,"On July 3, 2025, King Wen-Herng Henry, a director of CapsoVision, Inc., acquired 20,710 shares of the company's common stock. This transaction signals a key insider purchase, which could be viewed as a positive catalyst indicating confidence in the company's prospects. The filing highlights a notable insider investment activity that may influence investor sentiment.",0.10023868032416278,,-0.0477272803625783,0.6363961705028504,,True,368,False,1,2025-07-09
FGBIP,1408534,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1408534/0001408534-25-000051.txt,private placement,"The SEC filing indicates that First Guaranty Bancshares, Inc. conducted unregistered sales of equity securities as of June 30, 2025. The key catalyst appears to be the company's strategic issuance of equity securities, which could impact its capital structure and investor perception. This move may signal efforts to raise capital or optimize its equity base, potentially influencing future growth prospects.",0.0,,0.005945978937922297,0.11842660174543848,,False,408,False,1,2025-07-09
